Word,Text,URL
в/смі/х+`а+j+уч+и+сь,"Зустрів мене Артем біля будинку, #всміхаючись#, і доки йшли темними коридорами до його студії, почав розповідь. Окрім Лук’янчука, ще семеро художників орендують тут кімнати для творчості.",https://www.volyn24.com/news/113834-u-majsterni-hudozhnyka-artem-lukianchuk
по/смі/х+`а+ти+ся,"Таїланд вважається «країною усмішок». Якщо ви хоч раз бували в цій неймовірній країні, то могли особисто в цьому переконатися. Вся справа в тому, що місцевих жителів буквально закликають #посміхатися# всім навколо.",http://atocentr.sumy.ua/?p=4477
зу/стрі/ч+`а+j+уч+и,"По селу почали ходити чутки, що нібито сам дідько допомагає видатному силачу. Жінки #зустрічаючи# на вулиці велетня, жахалися та хрестилися втікаючи від нього.",https://ua.tribuna.com/tribuna/blogs/sacha79/2827149.html
/він/ч+`а+льн*ий,"Серед експонатів #вінчальний# рушник з Бердичева. Лляний, тканий на домашньому станку. Узор на ньому значно відрізняється від тих, які вишивали у нас на Козятинщині.",https://kazatin.com/lyudi/kozyatinchanka-kolektsionue-vishiti-rechi-11087354.html
у/кв`іт/ч+а+н*ий,"На славетній горі Пікуй три роки тому поставили статую Ісуса Христа, бо перед тим поставили закарпатці вінок #уквітчаний# кольорами угорського прапора. На старому перевалі поставили угорці з каміння велику зірку.",https://espreso.tv/news/2020/06/11/na_nayvyschiy_gori_lvivschyny_khochut_zbuduvaty_kaplycyu_naukovci_proty
/стрі/ч+`а+ти+ся,"В інших персонажах відбулося поєднання реальної особистості та її художня інтерпретація. Михайло Бриних каже, що не прагнув #стрічатися# із родичами та близькими загиблих, оскільки не хотів, аби документальна правда заважала художній.",https://kolomyia.today/ilovajsk-yak-vin-ye-film-pro-vijnu-na-yakyj-my-dovgo-chekaly-48207
по/спі/ш+`а+j+уч+и,"Ходіть не #поспішаючи#, ноги злегка розслабте в колінах, а ступайте на всю підошву. Руки повинні бути не зайняті торбами. Пам'ятайте, що поспіх збільшує небезпеку слизоти, тому виходьте із будинку не #поспішаючи#.",https://vn.20minut.ua/Pogoda/ne-dodavayte-roboti-travmatologam-v-ukrayini-ochikuetsya-ozheleditsya-11174176.html
не/презент/`абель+н+ість,"Заготовка, яка посіла почесне перше місце у моєму рейтингу рецептів із баклажанів. Не зважаючи на зовнішню #непрезентабельність#, найпростіший склад інгредієнтів і спосіб приготування, «синенькі» виходять дуже смачними й ніжними.",https://ye.ua/gurman/50521_Baklazhani_v_banci__Top_5_zagotovok_na_zimu.html
/презент/`абель+н*ий,"Незалежно від свого стилю і дизайну, дворівневі квартири завжди мають #презентабельний#, стильний і ефектний вигляд. Їх часто порівнюють з приватним будинком, через можливість чітко розділити простір на особисту і суспільну зони.",http://www.volynpost.com/news/175274-dvorivnevi-kvartyry-u-zhk-iarovycia-prezentabelno-stylno-i-efektno
по/р`ід/ш+а+нн*я,"Там, де росло п`ять волосся, тепер можуть залишитися тільки два. #Порідшання# може бути невеликим по краях. Чому волосся перестає рости, точно не знає ніхто.",https://www.unian.ua/health/country/142265-vipadinnya-volossya-z-nim-mojna-borotisya-i-peremogti.html
